genes,Symbol,logFC,unshrunk.logFC,logCPM,PValue,FDR
SEZ6,NA,-2.863061956,-2.891214721,0.324679509,6.79E-10,5.51E-08
EPHA8,NA,-2.863774906,-2.94990943,-1.05112516,1.22E-07,7.46E-06
AHSG,NA,-2.864966346,-2.872333045,2.166267375,0.000227606,0.007622768
SH3GL3,NA,-2.868536678,-2.974221789,-1.277938603,2.23E-06,0.000114109
OR4N4,NA,-2.883632047,-3.329844053,-2.440830803,0.001802787,0.046379973
LOC121838,NA,-2.884719765,-3.073288314,-1.822559207,1.01E-06,5.40E-05
LHX3,NA,-2.895389327,-3.285956558,-2.366773565,2.48E-07,1.46E-05
HULC,NA,-2.909271865,-2.938397997,0.325744528,0.000871865,0.024419367
HPR,NA,-2.913582289,-3.000254826,-1.016415774,3.75E-08,2.49E-06
VSIG8,NA,-2.922592776,-2.956259922,0.146576381,2.59E-08,1.74E-06
SLC2A7,NA,-2.925752533,-3.240904074,-2.221337841,0.000107374,0.003894665
KRTAP9-8,NA,-2.931816262,-5.375590512,-2.992688289,0.000124502,0.004437538
CAPN14,NA,-2.946847523,-2.948483511,4.393988747,1.62E-05,0.000703266
SLC7A13,NA,-2.949789668,-3.892312219,-2.767818146,0.000147666,0.005120909
DSG4,NA,-2.975087345,-3.015627575,-0.03584655,1.46E-08,1.01E-06
TFDP3,NA,-2.998135878,-3.868420145,-2.713593128,8.74E-06,0.000407081
HHATL,NA,-3.009443711,-3.991894075,-2.755347817,1.36E-05,0.000594274
GLYATL3,NA,-3.016783529,-3.265681993,-1.981346748,2.50E-05,0.001048505
FGF19,NA,-3.025189079,-3.04113251,1.251502296,2.23E-07,1.32E-05
UNCX,NA,-3.025774005,-4.251060574,-2.824852667,0.001410829,0.037518559
