"genes","Symbol","logFC","unshrunk.logFC","logCPM","PValue","FDR"
"ABI3",NA,1.71056712481692,1.71120114257466,4.40781839747528,7.60121597056177e-14,1.03346333692472e-11
"PIM2",NA,1.89513417830606,1.89537575236471,6.01293645524801,9.64390099575293e-14,1.30256110159742e-11
"PSTPIP1",NA,1.75981175986211,1.7625210155968,2.39193215082234,9.73064456217395e-14,1.30568714288517e-11
"FMNL1",NA,1.73153400399709,1.73182372472285,5.5589531552115,1.07598875934969e-13,1.43441878113305e-11
"LOC100188949",NA,2.07502707579723,2.09234945030507,0.183497472621541,1.27402031401185e-13,1.68746045462344e-11
"GRAP",NA,1.94471848429331,1.94670772566097,3.0437327346399,1.3051026735115e-13,1.71754858251225e-11
"DOK3",NA,1.89445042990277,1.8952146378124,4.35551432772585,1.32432431213985e-13,1.73174382982364e-11
"FAM65B",NA,2.22759746569548,2.22903642896578,3.82012874977943,1.40114710147771e-13,1.82060442995806e-11
"CD48",NA,2.14376674885975,2.14441006903255,4.88366723101941,1.45154335125024e-13,1.87422547177153e-11
"IL9R",NA,2.1274026072438,2.15652953303306,-0.425833256211269,1.92896181645089e-13,2.47509913073355e-11
"SH2D1A",NA,2.13169369004379,2.13569268000918,2.26021465878026,2.15943381092115e-13,2.75361342473362e-11
"TAGAP",NA,1.9974870581385,1.99847606909433,4.10287937171021,2.22515287203775e-13,2.8199005224034e-11
"NKG7",NA,2.18478758214358,2.18581797730811,4.25238917960706,2.63991478201202e-13,3.32499696163846e-11
"PARVG",NA,1.85136893039592,1.8524615608473,3.79295989260492,2.6956204263971e-13,3.37445654597149e-11
"GZMM",NA,2.34371591043548,2.35439997567754,1.11401246409668,3.04484389799383e-13,3.7885239530796e-11
"DERL3",NA,2.4761678852599,2.47668056850002,5.57015525940829,3.63343659438089e-13,4.49364176401444e-11
"GRAP2",NA,1.9725985757196,1.97648271638614,2.12636278425453,3.90986553613574e-13,4.80655924891417e-11
"ANXA2P3",NA,-3.18845617994397,-3.26360864854743,-0.616052489062794,3.95325843265494e-13,4.83097592990512e-11
"LYL1",NA,1.87183037654616,1.873769791237,2.99677551679503,5.64238465892329e-13,6.85432881939025e-11
"RAC2",NA,1.85090122733219,1.85106084893367,6.55867685405656,5.73840913502691e-13,6.92997291424132e-11
"POU3F2",NA,-4.51205182179067,-4.75965958303531,-0.865458389717435,6.04230880274398e-13,7.25430407721251e-11
"P2RX5",NA,2.09714756208603,2.09924303419003,3.14028543893503,6.69944690358354e-13,7.99649098433547e-11
"GVIN1",NA,2.02227772231186,2.02354596572139,3.7741286001566,6.95681897678287e-13,8.25569327129205e-11
"CCL5",NA,2.09136156319638,2.09161386961714,6.17279927380004,7.0046464031781e-13,8.26467762397968e-11
"CSF2RB",NA,1.95955386097287,1.95995343373908,5.3622700736303,8.07707294780114e-13,9.47556043533471e-11
"RHOXF2B",NA,3.91803988792208,4.04102646413843,-0.563470456741931,9.68837764428569e-13,1.13012723316583e-10
"ERBB2",NA,-2.49619512202808,-2.49622744876465,9.57580204029319,9.92188545870404e-13,1.15082660150957e-10
"TNFAIP8L2",NA,1.73147088103728,1.73431969205249,2.2877794075419,1.15937182926655e-12,1.33718559858665e-10
"ZNF683",NA,2.51150459079428,2.51724899947644,2.15364058961487,1.2963451302413e-12,1.48681371641642e-10
"ITGB7",NA,1.84564020011434,1.84641783490078,4.27453486224853,1.31454308523792e-12,1.49930941888525e-10
"RLTPR",NA,2.1945018096256,2.19701372213804,2.98725999633657,1.36259162484352e-12,1.54552519657665e-10
"CD3D",NA,2.01723263680161,2.01867685992071,3.58281910702613,1.38360914027874e-12,1.56074151922651e-10
"SLC38A4",NA,-3.16666718944185,-3.17567878757163,2.1872764206658,1.86447507180242e-12,2.09167613246469e-10
"TTC29",NA,-6.57208291242344,-7.2217292883103,-0.117375794541214,1.95989119324213e-12,2.18676990202505e-10
